 ,Area,Min,Max,Slice
1,443,255,255,1
2,300,255,255,1
3,290,255,255,1
4,424,255,255,1
5,310,255,255,1
6,361,255,255,1
7,466,255,255,1
8,306,255,255,1
9,414,255,255,1
10,273,255,255,1
11,296,255,255,1
12,296,255,255,1
13,273,255,255,1
14,377,255,255,1
15,330,255,255,1
16,293,255,255,1
17,411,255,255,1
18,343,255,255,1
19,393,255,255,1
20,107,255,255,1
21,289,255,255,1
22,421,255,255,1
23,292,255,255,1
24,329,255,255,1
25,285,255,255,1
26,322,255,255,1
27,349,255,255,1
28,388,255,255,1
29,307,255,255,1
30,395,255,255,1
31,300,255,255,1
32,268,255,255,1
33,381,255,255,1
34,480,255,255,1
35,340,255,255,1
36,320,255,255,1
37,314,255,255,1
38,343,255,255,1
39,298,255,255,1
40,363,255,255,1
41,298,255,255,1
42,267,255,255,1
43,300,255,255,1
44,376,255,255,1
45,488,255,255,1
46,355,255,255,1
47,290,255,255,1
48,384,255,255,1
49,358,255,255,1
50,404,255,255,1
51,277,255,255,1
52,274,255,255,1
53,433,255,255,1
54,303,255,255,1
55,303,255,255,1
56,303,255,255,1
57,344,255,255,1
58,347,255,255,1
59,484,255,255,1
60,196,255,255,1
61,352,255,255,1
62,211,255,255,1
63,154,255,255,1
64,487,255,255,1
65,306,255,255,1
66,351,255,255,1
67,295,255,255,1
68,253,255,255,1
69,354,255,255,1
70,486,255,255,1
71,294,255,255,1
72,253,255,255,1
73,333,255,255,1
74,350,255,255,1
75,265,255,255,1
76,227,255,255,1
77,325,255,255,1
78,259,255,255,1
79,278,255,255,1
80,469,255,255,1
81,285,255,255,1
82,308,255,255,1
83,347,255,255,1
84,377,255,255,1
85,234,255,255,1
86,356,255,255,1
87,351,255,255,1
88,332,255,255,1
89,341,255,255,1
90,220,255,255,1
91,293,255,255,1
92,299,255,255,1
93,461,255,255,1
94,346,255,255,1
95,493,255,255,1
96,314,255,255,1
97,311,255,255,1
98,354,255,255,1
99,291,255,255,1
100,356,255,255,1
101,315,255,255,1
102,219,255,255,1
103,296,255,255,1
104,278,255,255,1
105,275,255,255,1
106,354,255,255,1
107,196,255,255,1
108,376,255,255,1
109,324,255,255,1
110,228,255,255,1
111,375,255,255,1
112,356,255,255,1
113,421,255,255,1
114,293,255,255,1
115,397,255,255,1
116,454,255,255,1
117,335,255,255,1
118,321,255,255,1
119,403,255,255,1
120,236,255,255,1
121,235,255,255,1
122,282,255,255,1
123,342,255,255,1
124,304,255,255,1
125,424,255,255,1
126,325,255,255,1
127,325,255,255,1
128,427,255,255,1
129,385,255,255,1
130,307,255,255,1
